,Booking Amount
2017-01-01,3357673.22
2017-01-08,235877.78000000003
2017-01-15,475100.9299999998
2017-01-22,859038.1
2017-01-29,302023.6299999999
2017-02-05,928455.2699999999
2017-02-12,379344.49999999994
2017-02-19,692059.8400000001
2017-02-26,405886.01999999996
2017-03-05,1668924.2
2017-03-12,960899.4799999995
2017-03-19,754898.1900000002
2017-03-26,1380947.2200000004
2017-04-02,3187008.1699999985
2017-04-09,236676.83
2017-04-16,358522.4799999999
2017-04-23,368599.84
2017-04-30,1737623.0099999995
2017-05-07,545976.5
2017-05-14,1181328.3600000003
2017-05-21,639848.2600000001
2017-05-28,1362925.03
2017-06-04,717296.7600000001
2017-06-11,1044756.3600000002
2017-06-18,1105949.4399999995
2017-06-25,1438027.58
2017-07-02,8654547.139999997
2017-07-09,330910.02
2017-07-16,606072.7500000001
2017-07-23,513616.6799999998
2017-07-30,875722.9600000001
2017-08-06,964193.92
2017-08-13,583432.3899999999
2017-08-20,985720.7800000003
2017-08-27,1034200.3999999999
2017-09-03,13422709.88000001
2017-09-10,1308680.67
2017-09-17,1977893.15
2017-09-24,1460377.2599999995
2017-10-01,7913429.539999994
2017-10-08,432227.87000000005
2017-10-15,820303.8900000001
2017-10-22,1342995.86
2017-10-29,971510.1000000001
2017-11-05,1579164.2300000002
2017-11-12,1491259.77
2017-11-19,1571732.6399999997
2017-11-26,546150.05
2017-12-03,1392235.1500000008
2017-12-10,1399059.0
2017-12-17,2175936.0599999996
2017-12-24,4613510.609999999
2017-12-31,4219235.400000002
2018-01-07,6027660.660000001
2018-01-14,357821.2
2018-01-21,447407.69999999995
2018-01-28,544042.1499999999
2018-02-04,1262264.1799999988
2018-02-11,620837.4999999999
2018-02-18,913082.3200000003
2018-02-25,455061.65
2018-03-04,1549461.92
2018-03-11,885961.7199999997
2018-03-18,1229011.0399999993
2018-03-25,1471810.2499999993
2018-04-01,4629404.989999998
2018-04-08,686391.0800000002
2018-04-15,781158.2199999994
2018-04-22,507918.7199999999
2018-04-29,701497.47
2018-05-06,892703.9199999998
2018-05-13,3394911.8499999987
2018-05-20,2236308.17
2018-05-27,617294.3099999998
2018-06-03,1039096.7499999998
2018-06-10,945220.6200000003
2018-06-17,2247025.4300000006
2018-06-24,2449481.15
2018-07-01,6966057.560000005
2018-07-08,798382.2299999999
2018-07-15,647640.95
2018-07-22,422047.59
2018-07-29,906293.6600000001
2018-08-05,1256061.77
2018-08-12,668935.3300000002
2018-08-19,2239129.9399999995
2018-08-26,999492.2500000003
2018-09-02,1780376.9900000002
2018-09-09,669273.6900000001
2018-09-16,897231.82
2018-09-23,1249300.8699999994
2018-09-30,9612812.72
2018-10-07,388238.7699999999
2018-10-14,665453.39
2018-10-21,423890.20999999996
2018-10-28,1230938.6099999996
2018-11-04,875133.6500000001
2018-11-11,981436.1399999998
2018-11-18,833534.35
2018-11-25,412687.74
2018-12-02,2663241.7699999996
2018-12-09,1450032.58
2018-12-16,2090899.8799999992
2018-12-23,5232728.99
2018-12-30,6381129.719999999
