,date,monthly_booking_amount,x1,x2,x3,x4,y
0,2017-01-01,3357673.220000001,3357673.220000001,235877.78000000003,475100.92999999993,859038.1000000001,302023.62999999995
1,2017-01-08,235877.78000000003,235877.78000000003,475100.92999999993,859038.1000000001,302023.62999999995,928455.2699999999
2,2017-01-15,475100.92999999993,475100.92999999993,859038.1000000001,302023.62999999995,928455.2699999999,379344.49999999994
3,2017-01-22,859038.1000000001,859038.1000000001,302023.62999999995,928455.2699999999,379344.49999999994,692059.84
4,2017-01-29,302023.62999999995,302023.62999999995,928455.2699999999,379344.49999999994,692059.84,405886.02
5,2017-02-05,928455.2699999999,928455.2699999999,379344.49999999994,692059.84,405886.02,1668924.1999999995
6,2017-02-12,379344.49999999994,379344.49999999994,692059.84,405886.02,1668924.1999999995,960899.4799999995
7,2017-02-19,692059.84,692059.84,405886.02,1668924.1999999995,960899.4799999995,754898.1900000002
8,2017-02-26,405886.02,405886.02,1668924.1999999995,960899.4799999995,754898.1900000002,1380947.2200000002
9,2017-03-05,1668924.1999999995,1668924.1999999995,960899.4799999995,754898.1900000002,1380947.2200000002,3187008.169999998
10,2017-03-12,960899.4799999995,960899.4799999995,754898.1900000002,1380947.2200000002,3187008.169999998,236676.83000000005
11,2017-03-19,754898.1900000002,754898.1900000002,1380947.2200000002,3187008.169999998,236676.83000000005,358522.4799999999
12,2017-03-26,1380947.2200000002,1380947.2200000002,3187008.169999998,236676.83000000005,358522.4799999999,368599.84
13,2017-04-02,3187008.169999998,3187008.169999998,236676.83000000005,358522.4799999999,368599.84,1737623.0099999993
14,2017-04-09,236676.83000000005,236676.83000000005,358522.4799999999,368599.84,1737623.0099999993,545976.4999999999
15,2017-04-16,358522.4799999999,358522.4799999999,368599.84,1737623.0099999993,545976.4999999999,1181328.36
16,2017-04-23,368599.84,368599.84,1737623.0099999993,545976.4999999999,1181328.36,639848.2599999999
17,2017-04-30,1737623.0099999993,1737623.0099999993,545976.4999999999,1181328.36,639848.2599999999,1362925.0299999996
18,2017-05-07,545976.4999999999,545976.4999999999,1181328.36,639848.2599999999,1362925.0299999996,717296.7600000001
19,2017-05-14,1181328.36,1181328.36,639848.2599999999,1362925.0299999996,717296.7600000001,1044756.3600000001
20,2017-05-21,639848.2599999999,639848.2599999999,1362925.0299999996,717296.7600000001,1044756.3600000001,1105949.4399999997
21,2017-05-28,1362925.0299999996,1362925.0299999996,717296.7600000001,1044756.3600000001,1105949.4399999997,1438027.5799999998
22,2017-06-04,717296.7600000001,717296.7600000001,1044756.3600000001,1105949.4399999997,1438027.5799999998,8654547.139999997
23,2017-06-11,1044756.3600000001,1044756.3600000001,1105949.4399999997,1438027.5799999998,8654547.139999997,330910.02
24,2017-06-18,1105949.4399999997,1105949.4399999997,1438027.5799999998,8654547.139999997,330910.02,606072.75
25,2017-06-25,1438027.5799999998,1438027.5799999998,8654547.139999997,330910.02,606072.75,513616.68000000005
